reference,name,code,image_url
"MDL--1","Vertical Steam Boiler 2.5t/h","vertical-steam-boiler-2-5t-h",https://spryker.s3.eu-central-1.amazonaws.com/image/015-vsb-2500-vertical-steam-boiler-2-5t-h.jpg
"MDL--2","Horizontal Steam Boiler 1.5t/h","horizontal-steam-boiler-1-5t-h",https://spryker.s3.eu-central-1.amazonaws.com/image/006-sb-h1500-horizontal-steam-boiler-1-5t-h.jpg
"MDL--3","Condensate Return Pump Unit","condensate-return-pump-unit",https://spryker.s3.eu-central-1.amazonaws.com/image/007-crpu-0032-condensate-return-pump-unit.jpg
"MDL--4","Circulation Pump for Boilers","circulation-pump-for-boilers",https://spryker.s3.eu-central-1.amazonaws.com/image/004-cp-2080-circulation-pump-for-boilers.jpg
"MDL--5","Spring-Loaded Safety Valve DN40","spring-loaded-safety-valve-dn40",https://spryker.s3.eu-central-1.amazonaws.com/image/014-ssv-dn40-225-spring-loaded-safety-valve-dn40.jpg
"MDL--6","Industrial Heat Pump 60kW","industrial-heat-pump-60kw",https://spryker.s3.eu-central-1.amazonaws.com/image/020-hp-ind-60k-industrial-heat-pump-60kw.jpg
"MDL--7","High-Efficiency Heat Pump 45kW","high-efficiency-heat-pump-45kw",https://spryker.s3.eu-central-1.amazonaws.com/image/010-hp-eco-45k-high-efficiency-heat-pump-45kw.jpg
"MDL--8","Modular Heat Pump Control Panel","modular-heat-pump-control-panel",https://spryker.s3.eu-central-1.amazonaws.com/image/012-hpcp-3020-modular-heat-pump-control-panel.jpg
"MDL--9","Inline Booster Pump Stainless Steel","inline-booster-pump-stainless-steel",https://spryker.s3.eu-central-1.amazonaws.com/image/016-ibp-ss-09-inline-booster-pump-stainless-steel.jpg
"MDL--10","Expansion Tank for Heat Systems","expansion-tank-for-heat-systems",https://spryker.s3.eu-central-1.amazonaws.com/image/019-et-hs-120-expansion-tank-for-heat-systems.jpg

