category_key,category_product_order,abstract_sku,tax_set_name,name.en_US,name.pl_PL,name.uk_UA,description.en_US,description.pl_PL,description.uk_UA,url.en_US,url.pl_PL,url.uk_UA,meta_title.en_US,meta_title.pl_PL,meta_title.uk_UA,meta_keywords.en_US,meta_keywords.pl_PL,meta_keywords.uk_UA,meta_description.en_US,meta_description.pl_PL,meta_description.uk_UA,attribute_key_1,value_1,attribute_key_1.en_US,attribute_key_1.pl_PL,attribute_key_1.uk_UA,value_1.en_US,value_1.pl_PL,value_1.uk_UA,attribute_key_2,value_2,attribute_key_2.en_US,attribute_key_2.pl_PL,attribute_key_2.uk_UA,value_2.en_US,value_2.pl_PL,value_2.uk_UA,attribute_key_3,value_3,attribute_key_3.en_US,attribute_key_3.pl_PL,attribute_key_3.uk_UA,value_3.en_US,value_3.pl_PL,value_3.uk_UA,attribute_key_4,value_4,attribute_key_4.en_US,attribute_key_4.pl_PL,attribute_key_4.uk_UA,value_4.en_US,value_4.pl_PL,value_4.uk_UA,new_from,new_to,color_code
bearings-transmission,10,PLM-BRG-6204,Standard Taxes,Deep groove ball bearing 6204-2RS,Łożysko kulkowe zwykłe 6204-2RS,Радіальний шариковий підшипник 6204-2RS,"<p>Sealed single-row deep groove ball bearing for general industrial drivetrains. Rubber contact seals on both sides retain grease and keep contamination out, making it suitable for electric motors, pumps and conveyor rollers.</p><ul><li>Bore 20 mm, outer diameter 47 mm, width 14 mm</li><li>Pre-greased and maintenance-free</li><li>Operating range -30 to +110 degrees C</li></ul>","<p>Uszczelnione jednorzędowe łożysko kulkowe zwykłe do ogólnych zastosowań w napędach przemysłowych. Gumowe uszczelnienia stykowe z obu stron zatrzymują smar i chronią przed zanieczyszczeniami, dzięki czemu łożysko nadaje się do silników elektrycznych, pomp i rolek przenośników.</p><ul><li>Średnica wewnętrzna 20 mm, średnica zewnętrzna 47 mm, szerokość 14 mm</li><li>Wstępnie nasmarowane i bezobsługowe</li><li>Zakres pracy od -30 do +110 stopni C</li></ul>","<p>Закритий однорядний радіальний шариковий підшипник для загальних промислових приводів. Гумові контактні ущільнення з обох боків утримують мастило та не пропускають забруднення, тому підшипник підходить для електродвигунів, насосів і роликів конвеєрів.</p><ul><li>Внутрішній діаметр 20 mm, зовнішній діаметр 47 mm, ширина 14 mm</li><li>Попередньо змазаний і не потребує обслуговування</li><li>Робочий діапазон від -30 до +110 градусів C</li></ul>",/en/deep-groove-ball-bearing-6204-2rs-plm-brg-6204,/pl/deep-groove-ball-bearing-6204-2rs-plm-brg-6204,/uk/deep-groove-ball-bearing-6204-2rs-plm-brg-6204,Deep groove ball bearing 6204-2RS,Łożysko kulkowe zwykłe 6204-2RS,Радіальний шариковий підшипник 6204-2RS,bearing 6204 sealed,łożysko 6204 uszczelnione,підшипник 6204 закритий,Sealed 6204-2RS deep groove ball bearing for motors and pumps.,Uszczelnione łożysko kulkowe zwykłe 6204-2RS do silników i pomp.,Закритий радіальний шариковий підшипник 6204-2RS для двигунів і насосів.,material,Steel,Material,Materiał,Матеріал,Steel,Stal,Сталь,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
bearings-transmission,20,PLM-BRG-6308,Standard Taxes,Deep groove ball bearing 6308-2RS,Łożysko kulkowe zwykłe 6308-2RS,Радіальний шариковий підшипник 6308-2RS,"<p>Heavy-duty sealed deep groove ball bearing for higher radial loads. Used in fans, gear units and industrial machinery where a larger shaft diameter is required.</p><ul><li>Bore 40 mm, outer diameter 90 mm, width 23 mm</li><li>Double rubber seal, pre-greased</li><li>Dynamic load rating 41 kN</li></ul>","<p>Wzmocnione uszczelnione łożysko kulkowe zwykłe do większych obciążeń promieniowych. Stosowane w wentylatorach, przekładniach i maszynach przemysłowych, gdzie wymagana jest większa średnica wału.</p><ul><li>Średnica wewnętrzna 40 mm, średnica zewnętrzna 90 mm, szerokość 23 mm</li><li>Podwójne uszczelnienie gumowe, wstępnie nasmarowane</li><li>Dynamiczna nośność 41 kN</li></ul>","<p>Посилений закритий радіальний шариковий підшипник для підвищених радіальних навантажень. Застосовується у вентиляторах, редукторах і промислових машинах, де потрібен більший діаметр вала.</p><ul><li>Внутрішній діаметр 40 mm, зовнішній діаметр 90 mm, ширина 23 mm</li><li>Подвійне гумове ущільнення, попередньо змазаний</li><li>Динамічна несуча здатність 41 kN</li></ul>",/en/deep-groove-ball-bearing-6308-2rs-plm-brg-6308,/pl/deep-groove-ball-bearing-6308-2rs-plm-brg-6308,/uk/deep-groove-ball-bearing-6308-2rs-plm-brg-6308,Deep groove ball bearing 6308-2RS,Łożysko kulkowe zwykłe 6308-2RS,Радіальний шариковий підшипник 6308-2RS,bearing 6308 heavy duty,łożysko 6308 wzmocnione,підшипник 6308 посилений,Heavy-duty sealed 6308-2RS ball bearing with 40 mm bore.,Wzmocnione uszczelnione łożysko kulkowe 6308-2RS o średnicy wewnętrznej 40 mm.,Посилений закритий шариковий підшипник 6308-2RS із внутрішнім діаметром 40 mm.,material,Steel,Material,Materiał,Матеріал,Steel,Stal,Сталь,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
bearings-transmission,30,PLM-BRG-TAP32,Standard Taxes,Tapered roller bearing 32210,Łożysko stożkowe 32210,Конічний роликовий підшипник 32210,"<p>Single-row tapered roller bearing designed to carry combined radial and axial loads. Standard choice for gearbox shafts, wheel hubs and machine tool spindles.</p><ul><li>Bore 50 mm, outer diameter 90 mm, width 24.75 mm</li><li>Separable inner and outer ring for easier mounting</li><li>Requires adjustment against a second bearing</li></ul>","<p>Jednorzędowe łożysko stożkowe zaprojektowane do przenoszenia złożonych obciążeń promieniowych i osiowych. Standardowe rozwiązanie dla wałów przekładni, piast koł i wrzecion obrabiarek.</p><ul><li>Średnica wewnętrzna 50 mm, średnica zewnętrzna 90 mm, szerokość 24,75 mm</li><li>Rozdzielny pierścień wewnętrzny i zewnętrzny dla łatwiejszego montażu</li><li>Wymaga regulacji względem drugiego łożyska</li></ul>","<p>Однорядний конічний роликовий підшипник, розрахований на комбіновані радіальні та осьові навантаження. Стандартне рішення для валів редукторів, маточин коліс і шпинделів станків.</p><ul><li>Внутрішній діаметр 50 mm, зовнішній діаметр 90 mm, ширина 24,75 mm</li><li>Роз'ємні внутрішнє та зовнішнє кільця для простішого монтажу</li><li>Потребує регулювання відносно другого підшипника</li></ul>",/en/tapered-roller-bearing-32210-plm-brg-tap32,/pl/tapered-roller-bearing-32210-plm-brg-tap32,/uk/tapered-roller-bearing-32210-plm-brg-tap32,Tapered roller bearing 32210,Łożysko stożkowe 32210,Конічний роликовий підшипник 32210,tapered roller bearing 32210,łożysko stożkowe 32210,конічний роликовий підшипник 32210,Single-row tapered roller bearing 32210 for combined loads.,Jednorzędowe łożysko stożkowe 32210 do obciążeń złożonych.,Однорядний конічний роликовий підшипник 32210 для комбінованих навантажень.,material,Steel,Material,Materiał,Матеріал,Steel,Stal,Сталь,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Nordwerk,Brand,Marka,Бренд,Nordwerk,Nordwerk,Nordwerk,,,
bearings-transmission,40,PLM-GBX-NMRV63,Standard Taxes,Worm gearbox NMRV63,Przekładnia ślimakowa NMRV63,Червячний редуктор NMRV63,"<p>Aluminium-housed worm gear reducer for conveyors, mixers and packaging lines. Flange-mounted output with a hollow shaft, filled with synthetic lubricant and ready to install.</p><ul><li>Centre height 63 mm, hollow output shaft 25 mm</li><li>Suitable for IEC B14 motor flange</li><li>Maintenance-free synthetic oil fill</li></ul>","<p>Przekładnia ślimakowa w obudowie aluminiowej do przenośników, mieszalników i linii pakujących. Wyjście kołnierzowe z wałem drążonym, napełniona smarem syntetycznym i gotowa do montażu.</p><ul><li>Wysokość osi 63 mm, drążony wał wyjściowy 25 mm</li><li>Przystosowana do kołnierza silnika IEC B14</li><li>Bezobsługowe napełnienie olejem syntetycznym</li></ul>","<p>Червячний редуктор в алюмінієвому корпусі для конвеєрів, змішувачів і пакувальних ліній. Фланцевий вихід із порожнистим валом, заповнений синтетичним мастилом і готовий до встановлення.</p><ul><li>Висота осі 63 mm, порожнистий вихідний вал 25 mm</li><li>Підходить для фланця двигуна IEC B14</li><li>Заправка синтетичною оливою без потреби в обслуговуванні</li></ul>",/en/worm-gearbox-nmrv63-plm-gbx-nmrv63,/pl/worm-gearbox-nmrv63-plm-gbx-nmrv63,/uk/worm-gearbox-nmrv63-plm-gbx-nmrv63,Worm gearbox NMRV63,Przekładnia ślimakowa NMRV63,Червячний редуктор NMRV63,worm gearbox nmrv63 reducer,przekładnia ślimakowa nmrv63 reduktor,червячний редуктор nmrv63,Aluminium worm gear reducer NMRV63 for conveyors and mixers.,Aluminiowa przekładnia ślimakowa NMRV63 do przenośników i mieszalników.,Алюмінієвий червячний редуктор NMRV63 для конвеєрів і змішувачів.,material,Cast iron,Material,Materiał,Матеріал,Cast iron,Żeliwo,Чавун,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Nordwerk,Brand,Marka,Бренд,Nordwerk,Nordwerk,Nordwerk,,,
fasteners,10,PLM-FST-HEXM8,Standard Taxes,Hex bolt DIN 933 M8 zinc-plated,Śruba z łbem sześciokątnym DIN 933 M8 galwanizowana,Болт із шестигранною головкою DIN 933 M8 оцинкований,"<p>Fully threaded hexagon head bolt to DIN 933 in zinc-plated steel, strength class 8.8. General-purpose fastener for machine frames, brackets and guarding.</p><ul><li>Strength class 8.8, zinc-plated finish</li><li>Fully threaded shank</li><li>Supplied in a workshop pack of 100</li></ul>","<p>Śruba z łbem sześciokątnym w całości gwintowana według DIN 933, ze stali galwanizowanej, klasa wytrzymałości 8.8. Element złączny ogólnego przeznaczenia do ram maszyn, wsporników i osłon.</p><ul><li>Klasa wytrzymałości 8.8, powłoka galwaniczna</li><li>Trzon gwintowany na całej długości</li><li>Dostarczana w opakowaniu warsztatowym 100 szt.</li></ul>","<p>Болт із шестигранною головкою та різьбою по всій довжині за DIN 933 з оцинкованої сталі, клас міцності 8.8. Кріпильний елемент загального призначення для рам машин, кронштейнів і захисних огорож.</p><ul><li>Клас міцності 8.8, оцинковане покриття</li><li>Різьба по всій довжині стрижня</li><li>Постачається в упаковці для майстерні 100 шт.</li></ul>",/en/hex-bolt-din-933-m8-zinc-plated-plm-fst-hexm8,/pl/hex-bolt-din-933-m8-zinc-plated-plm-fst-hexm8,/uk/hex-bolt-din-933-m8-zinc-plated-plm-fst-hexm8,Hex bolt DIN 933 M8 zinc-plated,Śruba z łbem sześciokątnym DIN 933 M8 galwanizowana,Болт із шестигранною головкою DIN 933 M8 оцинкований,hex bolt din 933 m8,śruba sześciokątna din 933 m8,болт шестигранний din 933 m8,Zinc-plated DIN 933 hex bolt M8 class 8.8 in packs of 100.,Galwanizowana śruba z łbem sześciokątnym DIN 933 M8 klasy 8.8 w opakowaniach po 100 szt.,Оцинкований болт із шестигранною головкою DIN 933 M8 класу 8.8 в упаковках по 100 шт.,material,Zinc-plated steel,Material,Materiał,Матеріал,Zinc-plated steel,Stal galwanizowana,Оцинкована сталь,thread,M8,Thread,Gwint,Різьба,M8,M8,M8,unit_of_measure,Pack of 100,Unit of measure,Jednostka miary,Одиниця виміру,Pack of 100,Opakowanie 100 szt.,Упаковка 100 шт.,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
fasteners,20,PLM-FST-HEXM12,Standard Taxes,Hex bolt DIN 933 M12 stainless A2,Śruba z łbem sześciokątnym DIN 933 M12 nierdzewna A2,Болт із шестигранною головкою DIN 933 M12 нержавіючий A2,"<p>Fully threaded hexagon head bolt to DIN 933 in A2 stainless steel. Corrosion-resistant fastener for food processing, water treatment and outdoor installations.</p><ul><li>A2 (304) stainless steel</li><li>Fully threaded shank</li><li>Supplied in a pack of 50</li></ul>","<p>Śruba z łbem sześciokątnym w całości gwintowana według DIN 933, ze stali nierdzewnej A2. Element złączny odporny na korozję do przetwórstwa spożywczego, uzdatniania wody i instalacji zewnętrznych.</p><ul><li>Stal nierdzewna A2 (304)</li><li>Trzon gwintowany na całej długości</li><li>Dostarczana w opakowaniu 50 szt.</li></ul>","<p>Болт із шестигранною головкою та різьбою по всій довжині за DIN 933 з нержавіючої сталі A2. Корозійностійкий кріпильний елемент для харчової промисловості, водопідготовки та зовнішніх установок.</p><ul><li>Нержавіюча сталь A2 (304)</li><li>Різьба по всій довжині стрижня</li><li>Постачається в упаковці 50 шт.</li></ul>",/en/hex-bolt-din-933-m12-stainless-a2-plm-fst-hexm12,/pl/hex-bolt-din-933-m12-stainless-a2-plm-fst-hexm12,/uk/hex-bolt-din-933-m12-stainless-a2-plm-fst-hexm12,Hex bolt DIN 933 M12 stainless A2,Śruba z łbem sześciokątnym DIN 933 M12 nierdzewna A2,Болт із шестигранною головкою DIN 933 M12 нержавіючий A2,hex bolt m12 stainless a2,śruba m12 nierdzewna a2,болт m12 нержавіючий a2,A2 stainless DIN 933 hex bolt M12 in packs of 50.,Nierdzewna śruba z łbem sześciokątnym DIN 933 M12 A2 w opakowaniach po 50 szt.,Нержавіючий болт із шестигранною головкою DIN 933 M12 A2 в упаковках по 50 шт.,material,Stainless steel A2,Material,Materiał,Матеріал,Stainless steel A2,Stal nierdzewna A2,Нержавіюча сталь A2,thread,M12,Thread,Gwint,Різьба,M12,M12,M12,unit_of_measure,Pack of 50,Unit of measure,Jednostka miary,Одиниця виміру,Pack of 50,Opakowanie 50 szt.,Упаковка 50 шт.,brand,Pellumbra Pro,Brand,Marka,Бренд,Pellumbra Pro,Pellumbra Pro,Pellumbra Pro,,,
fasteners,30,PLM-FST-NUTM10,Standard Taxes,Hex nut DIN 934 M10 stainless A4,Nakrętka sześciokątna DIN 934 M10 nierdzewna A4,Гайка шестигранна DIN 934 M10 нержавіюча A4,"<p>Hexagon nut to DIN 934 in A4 marine-grade stainless steel. Specified where chloride exposure would attack A2, such as coastal plant and chemical dosing skids.</p><ul><li>A4 (316) stainless steel</li><li>Metric coarse thread</li><li>Supplied in a pack of 100</li></ul>","<p>Nakrętka sześciokątna według DIN 934 ze stali nierdzewnej A4 klasy morskiej. Stosowana tam, gdzie chlorki atakowałyby stal A2, na przykład w instalacjach nadmorskich i stacjach dozowania chemii.</p><ul><li>Stal nierdzewna A4 (316)</li><li>Gwint metryczny zwykły</li><li>Dostarczana w opakowaniu 100 szt.</li></ul>","<p>Гайка шестигранна за DIN 934 з нержавіючої сталі A4 морського класу. Застосовується там, де хлориди руйнували б сталь A2, наприклад на прибережних об'єктах і станціях дозування хімії.</p><ul><li>Нержавіюча сталь A4 (316)</li><li>Метрична різьба зі звичайним кроком</li><li>Постачається в упаковці 100 шт.</li></ul>",/en/hex-nut-din-934-m10-stainless-a4-plm-fst-nutm10,/pl/hex-nut-din-934-m10-stainless-a4-plm-fst-nutm10,/uk/hex-nut-din-934-m10-stainless-a4-plm-fst-nutm10,Hex nut DIN 934 M10 stainless A4,Nakrętka sześciokątna DIN 934 M10 nierdzewna A4,Гайка шестигранна DIN 934 M10 нержавіюча A4,hex nut m10 stainless a4,nakrętka m10 nierdzewna a4,гайка m10 нержавіюча a4,A4 marine-grade stainless DIN 934 hex nut M10 in packs of 100.,Nakrętka sześciokątna DIN 934 M10 ze stali nierdzewnej A4 klasy morskiej w opakowaniach po 100 szt.,Гайка шестигранна DIN 934 M10 з нержавіючої сталі A4 морського класу в упаковках по 100 шт.,material,Stainless steel A4,Material,Materiał,Матеріал,Stainless steel A4,Stal nierdzewna A4,Нержавіюча сталь A4,thread,M10,Thread,Gwint,Різьба,M10,M10,M10,unit_of_measure,Pack of 100,Unit of measure,Jednostka miary,Одиниця виміру,Pack of 100,Opakowanie 100 szt.,Упаковка 100 шт.,brand,Pellumbra Pro,Brand,Marka,Бренд,Pellumbra Pro,Pellumbra Pro,Pellumbra Pro,,,
fasteners,40,PLM-FST-ANCHM10,Standard Taxes,Through-bolt anchor M10x90,Kotwa przelotowa M10x90,Наскрізний анкерний болт M10x90,"<p>Zinc-plated through-bolt anchor for fixing into cracked and non-cracked concrete. Used for machine feet, racking uprights and pipe supports.</p><ul><li>Drill diameter 10 mm, anchor length 90 mm</li><li>Pre-assembled with nut and washer</li><li>Supplied in a pack of 10</li></ul>","<p>Galwanizowana kotwa przelotowa do montażu w betonie zarysowanym i niezarysowanym. Stosowana do stóp maszyn, słupów regałów i podpór rurociągów.</p><ul><li>Średnica wiercenia 10 mm, długość kotwy 90 mm</li><li>Wstępnie zmontowana z nakrętką i podkładką</li><li>Dostarczana w opakowaniu 10 szt.</li></ul>","<p>Оцинкований наскрізний анкерний болт для монтажу в тріщинуватому та нетріщинуватому бетоні. Використовується для опор машин, стійок стелажів і підпор трубопроводів.</p><ul><li>Діаметр сверління 10 mm, довжина анкера 90 mm</li><li>Попередньо зібраний із гайкою та шайбою</li><li>Постачається в упаковці 10 шт.</li></ul>",/en/through-bolt-anchor-m10x90-plm-fst-anchm10,/pl/through-bolt-anchor-m10x90-plm-fst-anchm10,/uk/through-bolt-anchor-m10x90-plm-fst-anchm10,Through-bolt anchor M10x90,Kotwa przelotowa M10x90,Наскрізний анкерний болт M10x90,through bolt anchor m10 concrete,kotwa przelotowa m10 beton,наскрізний анкерний болт m10 бетон,Zinc-plated M10x90 through-bolt concrete anchor in packs of 10.,Galwanizowana kotwa przelotowa do betonu M10x90 w opakowaniach po 10 szt.,Оцинкований наскрізний анкерний болт для бетону M10x90 в упаковках по 10 шт.,material,Zinc-plated steel,Material,Materiał,Матеріал,Zinc-plated steel,Stal galwanizowana,Оцинкована сталь,thread,M10,Thread,Gwint,Різьба,M10,M10,M10,unit_of_measure,Pack of 10,Unit of measure,Jednostka miary,Одиниця виміру,Pack of 10,Opakowanie 10 szt.,Упаковка 10 шт.,brand,Vistula Tools,Brand,Marka,Бренд,Vistula Tools,Vistula Tools,Vistula Tools,,,
seals-fluid-power,10,PLM-SEA-ORING,Standard Taxes,O-ring assortment NBR 70,Zestaw oringów NBR 70,Набір гумових кілець NBR 70,"<p>Sorted O-ring assortment in NBR 70 Shore A, covering the most common metric sizes for hydraulic and pneumatic repairs. Supplied in a compartmented case with a size chart.</p><ul><li>NBR 70 Shore A, oil and fuel resistant</li><li>Operating range -30 to +100 degrees C</li><li>Compartmented workshop case</li></ul>","<p>Posortowany zestaw oringów NBR 70 Shore A, obejmujący najczęstsze rozmiary metryczne do napraw hydraulicznych i pneumatycznych. Dostarczany w kasecie z przegrodami wraz z tabelą rozmiarów.</p><ul><li>NBR 70 Shore A, odporny na oleje i paliwa</li><li>Zakres pracy od -30 do +100 stopni C</li><li>Kaseta warsztatowa z przegrodami</li></ul>","<p>Сортований набір гумових кілець NBR 70 Shore A, що охоплює найпоширеніші метричні розміри для ремонту гідравліки та пневматики. Постачається в кейсі з відділеннями та таблицею розмірів.</p><ul><li>NBR 70 Shore A, стійкий до олив і палива</li><li>Робочий діапазон від -30 до +100 градусів C</li><li>Кейс для майстерні з відділеннями</li></ul>",/en/o-ring-assortment-nbr-70-plm-sea-oring,/pl/o-ring-assortment-nbr-70-plm-sea-oring,/uk/o-ring-assortment-nbr-70-plm-sea-oring,O-ring assortment NBR 70,Zestaw oringów NBR 70,Набір гумових кілець NBR 70,o-ring assortment nbr metric,zestaw oringów nbr metryczny,набір гумових кілець nbr метричний,Sorted metric NBR 70 O-ring assortment in a workshop case.,Posortowany zestaw oringów metrycznych NBR 70 w kasecie warsztatowej.,Сортований набір метричних гумових кілець NBR 70 у кейсі для майстерні.,material,NBR rubber,Material,Materiał,Матеріал,NBR rubber,Guma NBR,Гума NBR,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Box,Unit of measure,Jednostka miary,Одиниця виміру,Box,Karton,Коробка,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
seals-fluid-power,20,PLM-SEA-SHAFT35,Standard Taxes,Rotary shaft seal metric NBR,Pierścień uszczelniający wału metryczny NBR,Манжета вала метрична NBR,"<p>Single-lip rotary shaft seal with a stainless garter spring, for gearbox and pump shafts. The NBR lip runs against a ground shaft surface to retain oil. Available in the common metric shaft sizes.</p><ul><li>Spring-loaded single lip, type Rotary Shaft Seal</li><li>Operating range -30 to +100 degrees C</li><li>Select the shaft x bore x width combination below</li></ul>","<p>Jednowargowy pierścień uszczelniający wału ze sprężyną ze stali nierdzewnej, do wałów przekładni i pomp. Warga NBR współpracuje ze szlifowaną powierzchnią wału, zatrzymując olej. Dostępny w typowych metrycznych rozmiarach wałów.</p><ul><li>Jedna warga dociskana sprężyną, typ pierścienia uszczelniającego wał</li><li>Zakres pracy od -30 do +100 stopni C</li><li>Wybierz poniżej kombinację wał x otwór x szerokość</li></ul>","<p>Однокромкова манжета вала з пружиною з нержавіючої сталі, для валів редукторів і насосів. Кромка з NBR працює по шліфованій поверхні вала, утримуючи оливу. Доступна у поширених метричних розмірах валів.</p><ul><li>Одна кромка з підпружиненням, тип манжети вала</li><li>Робочий діапазон від -30 до +100 градусів C</li><li>Виберіть нижче комбінацію вал x отвір x ширина</li></ul>",/en/rotary-shaft-seal-metric-nbr-plm-sea-shaft35,/pl/rotary-shaft-seal-metric-nbr-plm-sea-shaft35,/uk/rotary-shaft-seal-metric-nbr-plm-sea-shaft35,Rotary shaft seal metric NBR,Pierścień uszczelniający wału metryczny NBR,Манжета вала метрична NBR,rotary shaft seal metric nbr,pierścień uszczelniający wału metryczny nbr,манжета вала метрична nbr,NBR spring-loaded metric rotary shaft seals for pumps and gearboxes.,Metryczne pierścienie uszczelniające wału NBR ze sprężyną do pomp i przekładni.,Метричні манжети валів NBR із пружиною для насосів і редукторів.,material,NBR rubber,Material,Materiał,Матеріал,NBR rubber,Guma NBR,Гума NBR,thread,None,Thread,Gwint,Різьба,None,Brak,Немає,unit_of_measure,Piece,Unit of measure,Jednostka miary,Одиниця виміру,Piece,Sztuka,Штука,brand,Pellumbra Standard,Brand,Marka,Бренд,Pellumbra Standard,Pellumbra Standard,Pellumbra Standard,,,
