key,translation,locale
cart.remove.items.success,Products were removed successfully,en_US
cart.add.items.success,Items added successfully,en_US
cart.add.items.error.text,Something went wrong. Sorry.,en_US
cart.your-order,Your Order,en_US
cart.price,Price,en_US
cart.shipping.order-item,+ Shipping,en_US
cart.shipping,Shipping,en_US
cart.total,Total,en_US
cart.checkout,Checkout,en_US
cart.empty,Your shopping cart is empty!,en_US
cart.cart,Cart,en_US
cart.total.discount,Discount,en_US
cart.vouchers,Vouchers,en_US
cart.discounts,Discounts,en_US
cart.item_quantity,Quantity,en_US
cart.item_attributes_needed,Please select more attributes,en_US
cart.voucher.redeem,Redeem code,en_US
cart.price.subtotal,Subtotal,en_US
cart.price.grand.total,Grand Total,en_US
cart.total.tax_total,Tax,en_US
cart.total.tax_total.calculated_at_checkout,calculated at checkout,en_US
cart.delete.item,Delete,en_US
cart.sales-order-threshold,Minimum Order Value,en_US
cart.title.available_discounts,Available discounts,en_US
checkout.sales-order-threshold,Minimum Order Value,en_US
sales-order-threshold.expense.name,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Surcharge,en_US
auth.login,Sign up,en_US
auth.password,Password,en_US
auth.password-forgot,Forgotten?,en_US
auth.email,E-mail,en_US
auth.register,Register,en_US
auth.im-new-customer,New Customer,en_US
auth.im-already-customer,I already have an account,en_US
navigation.menu.categories,Categories,en_US
navigation.menu.have-a-look,It is worth a look,en_US
navigation.browse_by_category,Browse by category,en_US
navigation.show_all,Show all,en_US
navigation.all_prefix,All,en_US
page.checkout.errors,Please check your entry.,en_US
page.checkout.client.existing,Existing Customer,en_US
page.checkout.client.new,New Customer,en_US
customer.password,Password,en_US
password.confirm,Confirm passwort,en_US
page.checkout.address.heading,1. Address Data,en_US
page.checkout.address.name,Name,en_US
page.checkout.address.billing-address,Billing Address,en_US
page.checkout.address.billing-isnt-shipping-address,Different Delivery Address,en_US
page.checkout.address.shipping-address,Delivery Address,en_US
page.checkout.address.address-example,Example:</br>Wayne Manor 1</br>10292 Gotham City</br>z.H. Alfred Pennyworth,en_US
page.checkout.address.next-step,Continue to Shippment Method,en_US
page.checkout.address.edit,edit Address Data,en_US
page.checkout.address.use_selected_address,Use selected address,en_US
page.checkout.address.different_delivery_address,Use a different delivery address,en_US
page.checkout.address.different_billing_address,Use a different billing address,en_US
page.checkout.address.option_group.customer,Customer addresses,en_US
page.checkout.address.option_group.company_business_unit,Business addresses,en_US
page.checkout.address.delivery.address_select,Select a delivery address,en_US
page.checkout.address.multi_shipment.title,Assign each product to its own delivery address,en_US
page.checkout.address.billing.address_select,Select a billing address,en_US
page.checkout.address.manage_your_addresses,Manage your addresses,en_US
page.checkout.address.address_select.label,Select a delivery address,en_US
page.checkout.address.address_select.placeholder,Select an address,en_US
page.checkout.shipment.heading,2. Shipping Method,en_US
page.checkout.shipment.shipping_method_heading,Shipping Method,en_US
page.checkout.shipment.shipment_group_heading,Shipment %current% of %total%,en_US
shipment.standart.name,Standard,en_US
shipment.express.name,Express,en_US
shipment.standart.description,2-4 working days,en_US
page.checkout.shipping.delivery_time,Delivery time:,en_US
page.checkout.shipping.day,day,en_US
page.checkout.shipping.days,days,en_US
page.checkout.shipping.price,Price:,en_US
shipment.express.description,24-48 hours (working days),en_US
page.checkout.shipment.edit,edit Shipment Method,en_US
page.checkout.shipment.next-step,Continue to Payment Method,en_US
page.checkout.shipment.item.quantity,Amount,en_US
page.checkout.shipment.item.price,Price,en_US
page.checkout.shipment.shipping_address.title,Delivery address,en_US
page.checkout.shipment.requested_delivery_date.label,Requested delivery date,en_US
page.checkout.shipment.requested_delivery_date.placeholder,Leave it empty if you want it ASAP,en_US
page.checkout.shipment.requested_delivery_date.title,When do you want to be delivered?,en_US
page.checkout.shipping.delivery_time,Delivery time,en_US
page.checkout.payment.heading,3. Payment Method,en_US
page.checkout.payment.title,Payment method,en_US
page.checkout.payment.edit,edit Payment Method,en_US
page.checkout.payment.next-step,Continue to finalise order,en_US
page.checkout.summary.billing,Invoice Address,en_US
page.checkout.summary.shipping,Shipping Address,en_US
page.checkout.summary.date_of_birth,Date of Birth,en_US
page.checkout.summary.card_type,Card Type,en_US
page.checkout.summary.card_number,Card Number,en_US
page.checkout.summary.name_on_card,Name on the Card,en_US
page.checkout.summary.card_expires,Expiry Date,en_US
page.checkout.summary.complete_checkout,Complete checkout,en_US
page.checkout.summary.accept_terms_and_conditions,I accept the terms and conditions,en_US
page.checkout.finalize.heading,4. Check and finalise order,en_US
shipment.international.parcel.service,International Parcel Services,en_US
page.checkout.terms,I accept the general terms and conditions.,en_US
page.checkout.finalize.enter-voucher,Enter voucher code,en_US
page.checkout.finalize.tos,"With a click to the button ""Buy now"" I confirm the GTCs.",en_US
page.checkout.finalize.buy-now,Buy now,en_US
page.detail.add-to-cart,Add to Cart,en_US
page.detail.dimensions,Measurements,en_US
page.product.by,by,en_US
page.product.details,Details,en_US
page.imprint.url,/en/imprint,en_US
page.imprint.title,Imprint,en_US
page.terms.url,/en/gtc,en_US
page.terms.title,GTC,en_US
page.privacy.url,/en/privacy,en_US
page.privacy.title,Data privacy,en_US
catalog.currency,€,en_US
catalog.filter.button,Filter,en_US
catalog.filter.and.sorting.button,Filters,en_US
catalog.filter.active,Active Filter,en_US
catalog.filter.main_color,Color,en_US
catalog.filter.extras,Other characteristics,en_US
catalog.filter.pricerangeFrom,from,en_US
catalog.filter.pricerangeTo,to,en_US
catalog.filter.rangeFrom,Range of,en_US
catalog.filter.rangeTo,to,en_US
catalog.filter.show,insert filter,en_US
catalog.filter.hide,hide filter,en_US
catalog.filter.per,Per Page,en_US
catalog.filter.sort,Sort by,en_US
catalog.filter.rating_up,& Up,en_US
catalog.filter.active_rating_up,Stars & Up,en_US
catalog.itemsFound,Items found,en_US
catalog.loading,Loading,en_US
catalog.next,continue,en_US
catalog.prev,back,en_US
catalog.sort,Sorting,en_US
catalog.sort.relevance,Sort by relevance,en_US
catalog.sort.name_asc,Sort by name ascending,en_US
catalog.sort.name_desc,Sort by name descending,en_US
catalog.sort.price_asc,Sort by price ascending,en_US
catalog.sort.price_desc,Sort by price descending,en_US
catalog.sort.rating,Sort by product ratings,en_US
catalog.filter.activeFilters,Active filters,en_US
catalog.filter.resetAllFilters,Reset all filters,en_US
catalog.no-results,No results.,en_US
product.filter.category,Categories,en_US
product.filter.price,Price range,en_US
product.filter.rating,Product Ratings,en_US
shipment.dhl,DHL,en_US
shipment.dhl.paket.name,Package,en_US
shipment.dhl.paket.description,"DHL Paket is the easy, affordable, fast and reliable shipping service to over 220 countries around the world.",en_US
shipment.dhl.express.name,Express,en_US
shipment.dhl.express.description,"Our force of 100,000 engaged employees is working worldwide. Local know-how and our unique network make us your International Specialists.",en_US
shipment.dpd,DPD,en_US
shipment.hermes,Hermes,en_US
customer.first_name,First Name,en_US
customer.last_name,Name,en_US
customer.salutation.mr,Mr.,en_US
customer.salutation.mrs,Mrs.,en_US
customer.salutation.ms,Ms.,en_US
customer.salutation.dr,Dr.,en_US
customer.birth_date,Date of birth (DD.MM.YYYY),en_US
customer.email,E-Mail,en_US
customer.phone,Telephone number,en_US
customer.reset.password.error.already.loggedIn,Another customer already logged in. Please logout to reset your password.,en_US
payment.prepay,Prepayment,en_US
payment.paypal,PayPal,en_US
payment.creditcard,Credit card,en_US
payment.invoice,Invoice,en_US
payment.cancellation.title,Payment cancellation,en_US
payment.cancellation.message,You have cancelled your payment.,en_US
address.street,Street,en_US
address.street_nr,Number,en_US
address.city,City,en_US
address.zip_code,Zip code,en_US
page.checkout.create_account,Create customer account,en_US
whishlist.whishlist,Whishlist,en_US
whishlist.remove,Remove,en_US
whishlist.reduce,Reduce,en_US
whishlist.increase,Increase,en_US
whishlist.move.to.cart,Move to cart,en_US
checkout.thank.you,Thank you,en_US
checkout.this.is.demoshop,This is a demoshop,en_US
checkout.nothing.will.be.sent,"Therefore, of course, nothing will be sent!",en_US
global.skip-to-navigation,Skip to navigation,en_US
global.skip-to-products,Skip to products,en_US
global.skip-to-content,Skip to content,en_US
global.order.ascendent,A-Z,en_US
global.show_more,Show More,en_US
global.account,Account,en_US
global.order.descendent,Z-A,en_US
global.close,Close,en_US
global.search,Search,en_US
global.search.results,Results for,en_US
global.search.results.no_query,Search Results,en_US
global.search.spellingSuggestion,Did you mean,en_US
global.search.suggestions,Search suggestions,en_US
global.search.suggestion.in_products,Products,en_US
global.search.suggestion.in_categories,Categories,en_US
global.search.suggestion.in_cms,Pages,en_US
global.search.suggestion.no_result,Nothing found...,en_US
global.search.suggestion.see_all_products,See all products,en_US
global.benefit.free_returns,Free Returns,en_US
global.benefit.warranty,3 Years Warranty,en_US
global.benefit.competitive_prices,Competitive Prices,en_US
global.spryker.shop,Spryker Shop,en_US
global.spryker.motto,technology with quality,en_US
global.payment_providers,Payment providers,en_US
global.shipment_providers,Shipment providers,en_US
global.get_in_touch,Get in touch,en_US
global.social,Social,en_US
global.home,Home,en_US
global.email.address,Email Address,en_US
global.password,Password,en_US
global.password.invalid_password,"Your password must include at least one uppercase letter, one lowercase letter, one number, and one special character from the following list: !@#$%^&*()_-+=[]{}|;:<>.,/?\~. Non-Latin and other special characters are not allowed.",en_US
global.permission.failed,This action is forbidden,en_US
global.recover.password,Recover Password,en_US
global.accept.terms.and.conditions,Accept Terms and Conditions,en_US
global.login,Login,en_US
global.create.account,Create Account,en_US
global.cart,Cart,en_US
global.my-cart,My Cart,en_US
global.no_image_available,No image available,en_US
global.add-to-cart,Add to Cart,en_US
global.subscribe.title,Curated insights for digital commerce,en_US
global.payment_shipping,Accepted payment and delivery options,en_US
global.top_categories,Top categories,en_US
global.popular_brands,Popular Brands,en_US
global.about,About,en_US
global.contact_us,Contact Us,en_US
global.hint,"All prices excl. shipping and handling fees, unless otherwise stated.",en_US
global.thank_certeo,A big thank you to our friends from Certeo.,en_US
global.privacy_nav.imprint,Imprint,en_US
global.privacy_nav.imprint_url,https://spryker.com/imprint/,en_US
global.privacy_nav.data_privacy,Data privacy,en_US
global.privacy_nav.data_privacy_url,https://spryker.com/privacy-policy/,en_US
global.build_with,Build with,en_US
global.build_with.link,https://spryker.com/,en_US
global.phone.number,+49 (0) 30 208 498 350,en_US
global.email.text,info@spryker.com,en_US
global.select.placeholder.value,Select a value,en_US
global.show,Show,en_US
global.hide,Hide,en_US
global.cancel,Cancel,en_US
global.keep,Keep,en_US
error.404,Error 404,en_US
homepage.carousel.previous,Previous,en_US
homepage.carousel.next,Next,en_US
customer.signup,New customer?,en_US
customer.signin,Signin,en_US
customer.logout,Logout,en_US
customer.register,Register,en_US
customer.login,Login,en_US
customer.please_login,Sign in,en_US
customer.login.email,Email,en_US
customer.login.password,Password,en_US
customer.login.title,Access your account,en_US
customer.login.welcome_back,Welcome back,en_US
customer.login.subtitle,Sign in to manage your orders and account,en_US
customer.login.submit,Sign in,en_US
customer.login.terms,Terms,en_US
customer.login.error,The email or password you entered is incorrect.,en_US
customer.login.continue_as_guest,Continue as a guest,en_US
customer.registration.title,Create account,en_US
customer.account.no_order,No orders at the moment,en_US
customer.account,Customer Account,en_US
customer.account.contact,Contact,en_US
customer.account.overview,Overview,en_US
customer.account.profile_data,Profile,en_US
customer.account.address,Addresses,en_US
customer.account.address.no-addresses,No addresses added yet!,en_US
customer.account.address.no-addresses-description,This is where you'll find and manage addresses once it's available.,en_US
customer.account.order_history,Order History,en_US
customer.account.button.search_filters,Search & Filters,en_US
customer.account.newsletter,Newsletter,en_US
customer.account.last_orders,Last Orders,en_US
customer.account.default_billing_address,Default Billing Address,en_US
customer.account.please_specify_billing_address,Please Specify Billing Address,en_US
customer.account.default_shipping_address,Default Shipping Address,en_US
customer.account.default_address,Address,en_US
customer.account.default_both_addresses,Default Address,en_US
customer.account.please_specify_shipping_address,Please Specify Shipping Address,en_US
customer.account.edit_address_information,Edit Address Information,en_US
customer.account.additional_addresses,Additional Addresses,en_US
customer.account.button.add_new_address,Add new address,en_US
