key,translation,locale
cart.remove.items.success,Товари успішно видалено,uk_UA
cart.add.items.success,Позиції успішно додано,uk_UA
cart.add.items.error.text,Щось пішло не так. Вибачте.,uk_UA
cart.your-order,Ваше замовлення,uk_UA
cart.price,Ціна,uk_UA
cart.shipping.order-item,+ Доставка,uk_UA
cart.shipping,Доставка,uk_UA
cart.total,Разом,uk_UA
cart.checkout,Оформлення замовлення,uk_UA
cart.empty,Ваш кошик порожній!,uk_UA
cart.cart,Кошик,uk_UA
cart.total.discount,Знижка,uk_UA
cart.vouchers,Купони,uk_UA
cart.discounts,Знижки,uk_UA
cart.item_quantity,Кількість,uk_UA
cart.item_attributes_needed,Виберіть більше атрибутів,uk_UA
cart.voucher.redeem,Використати код,uk_UA
cart.price.subtotal,Проміжна сума,uk_UA
cart.price.grand.total,Загальна сума,uk_UA
cart.total.tax_total,Податок,uk_UA
cart.total.tax_total.calculated_at_checkout,розраховується при оформленні,uk_UA
cart.delete.item,Видалити,uk_UA
cart.sales-order-threshold,Мінімальна сума замовлення,uk_UA
cart.title.available_discounts,Доступні знижки,uk_UA
checkout.sales-order-threshold,Мінімальна сума замовлення,uk_UA
sales-order-threshold.expense.name,Додаткова плата,uk_UA
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Додаткова плата,uk_UA
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Додаткова плата,uk_UA
auth.login,Зареєструватися,uk_UA
auth.password,Пароль,uk_UA
auth.password-forgot,Забули?,uk_UA
auth.email,E-mail,uk_UA
auth.register,Зареєструватися,uk_UA
auth.im-new-customer,Новий клієнт,uk_UA
auth.im-already-customer,У мене вже є акаунт,uk_UA
navigation.menu.categories,Категорії,uk_UA
navigation.menu.have-a-look,Варто поглянути,uk_UA
navigation.browse_by_category,Переглядати за категоріями,uk_UA
navigation.show_all,Показати все,uk_UA
navigation.all_prefix,Усі,uk_UA
page.checkout.errors,Перевірте введені дані.,uk_UA
page.checkout.client.existing,Наявний клієнт,uk_UA
page.checkout.client.new,Новий клієнт,uk_UA
customer.password,Пароль,uk_UA
password.confirm,Підтвердьте пароль,uk_UA
page.checkout.address.heading,1. Адресні дані,uk_UA
page.checkout.address.name,Назва,uk_UA
page.checkout.address.billing-address,Платіжна адреса,uk_UA
page.checkout.address.billing-isnt-shipping-address,Інша адреса доставки,uk_UA
page.checkout.address.shipping-address,Адреса доставки,uk_UA
page.checkout.address.address-example,Приклад:</br>Wayne Manor 1</br>10292 Gotham City</br>до рук Alfred Pennyworth,uk_UA
page.checkout.address.next-step,Перейти до способу доставки,uk_UA
page.checkout.address.edit,редагувати адресні дані,uk_UA
page.checkout.address.use_selected_address,Використати вибрану адресу,uk_UA
page.checkout.address.different_delivery_address,Використати іншу адресу доставки,uk_UA
page.checkout.address.different_billing_address,Використати іншу платіжну адресу,uk_UA
