category_key,parent_category_key,name.de_DE,meta_title.de_DE,meta_description.de_DE,meta_keywords.de_DE,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US
demoshop,,Demoshop,Demoshop,Deutsche Version des Demoshop,Deutsche Version des Demoshop,1,1,1,0,1,1,,Catalog (default),Demoshop,Demoshop,English version of Demoshop,English version of Demoshop
100-cer,demoshop,Bürobedarf,Bürobedarf günstig kaufen,Bürobedarf in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei Certeo.,,1,1,1,1,0,1,40,Catalog + Slots,Stationery,,,
300-cer,100-cer,Schreibwaren,Schreibwaren und Büroartikel günstig kaufen,Schreibwaren und Büroartikel in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,,1,1,1,1,0,1,20,Catalog + Slots,Writing Materials,,,
308-cer,300-cer,Kugelschreiber,Kugelschreiber günstig kaufen,Kugelschreiber in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,,1,1,1,1,0,1,30,Catalog + Slots,Pens,,,
310-cer,300-cer,Marker & Textmarker,Marker und Textmarker günstig kaufen,"Marker, Textmarker, Permanentmarker, Boardmarker, Lackmarker in großer Auswahl. Bestellen Sie versandkostenfrei und günstig bei certeo",,1,1,1,1,0,1,20,Catalog + Slots,Markers & Highlighters,,,
301-cer,300-cer,Bleistifte & Kreide,Bleistifte und Kreide günstig kaufen,"Bleistifte, Druckbleistifte, Farbstifte, Kreide und Tafelkreide in großer Auswahl. Bestellen Sie versandkostenfrei und günstig bei certeo",,1,1,1,1,0,1,10,Catalog + Slots,Pencils & Chalk,,,
400-cer,100-cer,Papier,"Papier, Blöcke und Notizbücher günstig kaufen","Papier, Blöcke und Notizbücher in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo",,1,1,1,1,0,1,10,Catalog + Slots,Paper,,,
401-cer,400-cer,Blöcke & Notizbücher,Blöcke und Notizbücher günstig kaufen,"Blöcke, Notizblöcke und Notizbücher in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo",,1,1,1,1,0,1,30,Catalog + Slots,Blocks & Notebooks,,,
406-cer,400-cer,Kopierpapier,Kopierpapier günstig kaufen,Kopierpapier und Druckerpapier in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,,1,1,1,1,0,1,20,Catalog + Slots,Copy Paper,,,
403-cer,400-cer,Haftnotizen,Haftnotizen günstig kaufen,Haftnotizen in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,,1,1,1,1,0,1,10,Catalog + Slots,Sticky Notes,,,
200-cer,demoshop,Büromöbel,Büromöbel,Büromöbel,Büromöbel,1,1,1,1,0,1,30,Catalog + Slots,Office furniture,,,
1002577-cer,200-cer,Stühle,Stühle und Bürostühle günstig kaufen,"Stühle, Bürostühle und Schreibtischstühle in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo","Stühle, Bürostühle, Schreibtischstühle",1,1,1,1,0,1,30,Catalog + Slots,Chairs,,,
1005254-cer,1002577-cer,Bürostühle,Bürostühle und Konferenzstühle günstig kaufen,Bürostühle und Konferenzstühle in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,Bürostühle,1,1,1,1,0,1,30,Catalog + Slots,Office Chairs,,,
74045-cer,1002577-cer,Drehstühle,Drehstuhl und Bürodrehstuhl günstig kaufen,Drehstühle und Bürodrehstühle in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,Drehstühle,1,1,1,1,0,1,20,Catalog + Slots,Swivel Chairs,,,
1002760-cer,1002577-cer,Sessel,Sessel und Design Ledersessel günstig kaufen,"Sessel, Relaxsessel und Design Ledersessel in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo","Sessel, Relaxsessel, Ledersessel",1,1,1,1,0,1,10,Catalog + Slots,Armchair,,,
1005251-cer,200-cer,Tische,"Tische, Glastische und Bürotische günstig kaufen","Tische, Glastische und Bürotische in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo","Tische, Glastisch, Bürotisch",1,1,1,1,0,1,20,Catalog + Slots,Tables,,,
63685-cer,1005251-cer,Konferenztische,Konferenztisch und Mehrzwecktisch günstig kaufen,Runde und ovale Konferenztische und Mehrzwecktische in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,"Konferenztisch, Mehrzwecktisch",1,1,1,1,0,1,30,Catalog + Slots,Conference Tables,,,
1005263-cer,1005251-cer,Schreibtische,Schreibtisch und Eckschreibtisch günstig kaufen,"Schreibtische, Eckschreibtische und Design-Schreibtische in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo","Schreibtisch, Eckschreibtisch",1,1,1,1,0,1,20,Catalog + Slots,Desks,,,
100267-cer,1005251-cer,Stehtische,Klappbare Stehtische günstig kaufen,Klappbare Stehtische höhenverstellbar in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,Stehtische,1,1,1,1,0,1,10,Catalog + Slots,Podiums,,,
1005271-cer,200-cer,Schränke,Schrank und Büroschränke günstig kaufen,Schränke und Büroschränke in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,Schrank,1,1,1,1,0,1,10,Catalog + Slots,Storage,,,
74043-cer,1005271-cer,Universalschränke,Universalschrank günstig kaufen,Universalschränke in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,Universalschrank,1,1,1,1,0,1,20,Catalog + Slots,Universal Cabinets,,,
1002772-cer,1005271-cer,Spinde und Schließfächer,Spind und Schließfächer günstig kaufen – certeo,Metall Spinde und Schließfächer in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,"Spind, Schließfächer",1,1,1,1,0,1,10,Catalog + Slots,Lockers,,,
1002574-cer,demoshop,Büroausstattung,Büroausstattung und Büroeinrichtung günstig kaufen,"Büroausstattung, Büroeinrichtung und Büromöbel in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo","Büroausstattung, Büromöbel, Büromaterial, Büroeinrichtung",1,1,1,1,0,1,20,Catalog + Slots,Office equipment,,,
1002666-cer,1002574-cer,Aktenvernichter,Aktenvernichter günstig kaufen,Aktenvernichter und Shredder in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,"Aktenvernichter, Aktenvernichtung, Shredder",1,1,1,1,0,1,40,Catalog + Slots,Shredder,,,
1207565-cer,1002574-cer,Münzzähler und Geldscheinprüfer,,,,1,1,1,1,0,1,30,Catalog + Slots,Money Counters and Validators,,,
1002660-cer,1002574-cer,Flipcharts,Flipchart günstig kaufen,Flipcharts für Ihre Präsentation in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,Flipchart,1,1,1,1,0,1,20,Catalog + Slots,Flipcharts,,,
800-cer,1002574-cer,Computerzubehör,Computerzubehör günstig kaufen,Computerzubehör und PC Zubehör in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,,1,1,1,1,0,1,10,Catalog + Slots,Computer Accessories,,,
808-cer,800-cer,Tastaturen & Mäuse,Tastaturen und Mäuse günstig kaufen,Tastaturen und Mäuse in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,,1,1,1,1,0,1,30,Catalog + Slots,Keyboards & Mice,,,
810-cer,800-cer,USB Sticks & SD Karten,USB Sticks und SD Karten günstig kaufen,"USB Sticks, SD Karten und USB Festplatten in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo",,1,1,1,1,0,1,20,Catalog + Slots,USB Sticks & SD Cards,,,
803-cer,800-cer,Kabel,Kabel günstig kaufen,"Kabel, Verlängerungskabel, Steckdosenleisten, Kabelboxen in großer Auswahl. Bestellen Sie versandkostenfrei und günstig bei certeo",,1,1,1,1,0,1,10,Catalog + Slots,Cables,,,
1002576-cer,demoshop,Transport,Transport und Logistik Artikel günstig kaufen,Transport und Logistik Artikel in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,"Transport, Logistik",1,1,1,1,0,1,10,Catalog + Slots,Transport,,,
1002752-cer,1002576-cer,Hubwagen,Hubwagen und Hochhubwagen günstig kaufen – certeo,Hubwagen und Hochhubwagen in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,"Hubwagen, Hochhubwagen, Handhubwagen",1,1,1,1,0,1,20,Catalog + Slots,Lift Carts,,,
1002745-cer,1002576-cer,Sackkarren,Sackkarre günstig kaufen – certeo,Klappbare Sackkarre in großer Auswahl. Bestellen Sie versandkostenfrei und günstig mit Best Price Garantie bei certeo,Sackkarre,1,1,1,1,0,1,10,Catalog + Slots,Sack Trucks,,,
product-bundles,demoshop,Product Bundles,Product Bundles,Diese Produkte haßben mehr als eine Variante.,Product Bundles,1,0,1,1,0,1,50,Catalog + Slots,Product Bundles,Product Bundles,These are multiple products bundled to a new product.,Product Bundles
food,demoshop,Lebensmittel,,,,1,1,1,1,0,1,50,Catalog (default),Foods,,,
fish,food,Fisch,,,,1,1,1,1,0,1,50,Catalog (default),Fish,,,
vegetables,food,Gemüse,,,,1,1,1,1,0,1,50,Catalog (default),Vegetables,,,
